
id,company_name,title,category,description,location,min_salary,max_salary,skills,employment_type,work_type,commission_fee,commission_type,no_of_openings,status,hiring_need,created_at,updated_at,posted_by,assigned_to,shift_timings,language,min_experience,min_age,qualification,max_experience,max_age,location_link,tenure_in_days,street,area,city,pincode,keywords,company_id,company_logo_url,salary_mode,currency
908c572f-4d80-4645-8ad2-852b17b28f02,"Picxele ( Floatex Marketing Solutions Pvt Ltd )","Fintech Legal Associate ","Other","We are seeking a talented Fintech Legal Associate with at least 1 year of experience in drafting, reviewing, and negotiating fintech-related contracts and legal documents. This role is ideal for someone with a solid understanding of fintech regulations, corporate law, and compliance frameworks, looking to grow within a fast-paced, innovative legal team. Key Responsibilities include drafting and reviewing agreements, conducting legal research on fintech laws, advising on compliance and regulatory matters, assessing legal risks, and collaborating with internal and external stakeholders. You'll be actively involved in shaping legal strategy, improving legal processes, and supporting the business in managing legal risks in a rapidly evolving industry. Qualifications: Law degree (LL.B. or equivalent), minimum 1 year of relevant legal experience in fintech, finance, or technology. Strong communication, research, and analytical skills are essential. This is a fantastic opportunity for a proactive legal professional who thrives in a tech-driven environment. You'll gain exposure to cutting-edge legal issues in fintech and work closely with experienced professionals, making a real impact on the company's legal and regulatory landscape. If you're passionate about law and technology, we'd love to hear from you. Apply now and be part of our journey in shaping the future of finance!","Ground Floor, F-171, vikaspuri, New Delhi, 110001",30000,45000,"legal documentation, intech-related contracts, agreements, and policies","Permanent Employment (Full-time)","On Site",8.33,"Percentage",2,"Open","Immediate","2025-04-06T19:04:35.000Z","2025-04-07T08:15:56.000Z","info@victaman.com",,"Day Shifts","English, Hindi",1,21,"Graduation (10 + 2 + 3)",3,30,"https://maps.app.goo.gl/qaPEufZySXeMX5js5",60,"Ground Floor, F-171","vikaspuri","New Delhi","110001","Fintech, Legal Associate, Contract Drafting, Contract Review, Legal Agreements, Legal Documentation, Regulatory Compliance, Compliance Advisory, Corporate Law, Fintech Regulations, Legal Research, Financial Services Law, Risk Assessment, Risk Mitigation, Legal Analysis, Legal Advisory, Fintech Transactions, Policy Drafting, Legal Compliance, Technology Law, Legal Negotiation, Legal Strategy, Stakeholder Communication, Internal Collaboration, External Liaison, Regulatory Framework, Contract Law, Compliance Risk, Law and Technology, Financial Regulations","b93db4c5-a6ba-44dd-8bf7-cc95c095d9f0","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/Picxele logo.png-1743961026586","Monthly",",INR"
fa05c799-b6d6-40dd-a3ee-26bfd6167c63,"Earlyjobs","Account & MIS Executive","Finance"," ### *Job Overview:*  We are looking for a skilled *Accountant cum MIS Executive* to join our dynamic team at a growing recruitment startup. The ideal candidate will be responsible for managing financial transactions, maintaining accurate accounting records, preparing reports, and handling MIS (Management Information System) to support business decision-making.  ### *Key Responsibilities:*  #### *Accounting & Finance:*  - Maintain books of accounts, including journal entries, ledgers, and reconciliations.  - Handle accounts payable and receivable, GST filings, TDS, and payroll processing.  - Prepare financial statements, P&L accounts, balance sheets, and tax returns.  - Ensure compliance with accounting standards, taxation laws, and company policies.  - Coordinate with auditors and regulatory authorities for audits and compliance reporting.  #### *MIS & Data Management:*  - Collect, analyze, and manage data to generate insightful MIS reports.  - Develop dashboards and reports to track recruitment performance, revenue, and operational KPIs.  - Automate data collection and reporting processes for efficiency.  - Assist management in forecasting, budgeting, and financial planning.  - Support decision-making through data-driven insights.  ### *Requirements:*  - Bachelor's degree in Accounting, Finance, or a related field.  - 2-5 years of experience in accounting and MIS reporting, preferably in a startup or HR/recruitment firm.  - Proficiency in Tally, MS Excel (advanced), and accounting software.  - Strong analytical skills and attention to detail.  - Knowledge of GST, TDS, and financial compliance.  ### *Benefits:*  - Competitive salary package  - Growth opportunities in a fast-paced startup environment  - Exposure to both finance and strategic decision-making You will be directly report to CEO . If you are a detail-oriented professional with a passion for numbers and data, apply now!"," HustleHub 53, 5th Cross Rd, near Sony World Signal, 4th Block,, Koramangala, Bangalore, 560034",18000,25000,"Accounting, MS Office, MIS","Permanent Employment (Full-time)","On Site",0,"Fixed",2,"Open","Immediate","2025-03-06T08:15:29.000Z","2025-03-20T12:49:05.000Z","info@victaman.com",,"Day Shifts","English",1,21,"Graduation (10 + 2 + 3)",3,30,"https://maps.app.goo.gl/xjc9VDLvZjGnrnS89?g_st=aw",0," HustleHub 53, 5th Cross Rd, near Sony World Signal, 4th Block, ","Koramangala","Bangalore","560034","#AccountsExecutive, #FinancialReporting, #GeneralLedger, #Accounts Payable, #AccountsReceivable, #Taxation, #TDSFiling, #GSTFiling, #BankReconciliation, #Bookkeeping, #PayrollProcessing, #MISExecutive, #MISReporting, #DataAnalysis, #DashboardCreation, #AdvancedExcel, #DataVisualization, #BusinessIntelligence, #ERPSoftware, #QuickBooks, #MicrosoftExcel, #GoogleSheets, #FinancialAnalysis, #BudgetingAndForecasting, #ProblemSolving","5a0c682d-0fa5-4ec6-8305-53ac167c1bf6","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/earlyjobs.png-1726641389273","Monthly",",INR"
2d9a0982-306f-4d28-b567-bade8aef05e9,"Altruist Technologies Private Limited","SBI General Insurance Sales Executive","Insurance","We are looking for dynamic and self-motivated individuals to join our team as Insurance Sales Executives to promote and sell SBI General Insurance products. If you have a passion for sales and customer interaction, this is a great opportunity to build a career in the BFSI sector.Key Responsibilities:Reach out to potential customers and explain SBI General Insurance products.Understand customer needs and recommend suitable insurance plans.Achieve sales targets and contribute to business growth.Build strong customer relationships and provide post-sale support.Maintain accurate records of customer interactions and transactions.Eligibility , Criteria:Education: Minimum HSC (12th Pass).Experience: Freshers or candidates with 3-6 months of sales experience (on paper).Strong communication and persuasion skills.Ability to handle objections and close sales effectively.Job Benefits:Salary: ₹13,000 (Freshers) – ₹16,000 (Experienced) in-hand. + IncentivesFixed Sunday Off for a healthy work-life balance.Day Shift: 9:30 AM – 6:30 PM.Career growth opportunities in the BFSI sector.Interview Process:Rounds: HR Round & Operations Round.If you are looking to build a successful career in sales with SBI General Insurance, apply now and be a part of a growing industry!","A-8 Millenium business park near MTNL office Mahape, Ghansoli, Mumbai , 400710",13000,16000,"MS Office, Basic Computer Knowledge","Permanent Employment (Full-time)","On Site",3000,"Fixed",100,"Open","Immediate","2025-02-23T10:29:15.000Z","2025-02-23T10:31:57.000Z","info@victaman.com",,"Day Shifts","English, Hindi",0.5,18,"12th",3,30,"https://www.google.com/maps/place/a,+8,+Millenium+Business+Park,+MIDC+Industrial+Area,+ Sector+1,+Kopar+Khairane,+Navi+Mumbai,+Maharashtra+400710/@19.109645,73.019298,596 m/data=!3m2!1e3!4b1!4m5!3m4!1s0x3be7c0e7d0d4db63:0x5d75eca33889db1e!8m2!3d19.109 645!4d73.019298?entry=ttu&g_ep=EgoyMDI1MDIxOS4xIKXMDSoASAFQAw%3D%3D",90,"A-8 Millenium business park near MTNL office Mahape "," Ghansoli","Mumbai ","400710","Insurance Sales Executive jobs, SBI General Insurance hiring, Insurance sales jobs in Navi Mumbai, Freshers sales jobs in BFSI, Insurance sales job vacancies, Sales executive jobs for freshers, General insurance sales careers, Jobs in Mahape Navi Mumbai, BFSI sector sales jobs, Tele-sales insurance jobs, Customer relationship executive jobs, 12th pass sales jobs in Mumbai, Insurance advisor job openings, Sales and marketing jobs in BFSI, Call center jobs in insurance sales, Day shift sales jobs in Mumbai, SBI insurance sales job vacancy, Business development executive jobs, Career in insurance sales, Jobs with fixed Sunday off, Sales jobs with high incentives, Direct sales jobs in Mumbai, Telesales executive insurance jobs, Jobs in Millennium Business Park, Call center jobs in Mahape, Insurance sales careers for freshers, HR & Operations interview process jobs, Insurance agent job openings, Sales jobs with career growth, SBI General Insurance recruitment","13060ffa-25f3-44f1-87fd-afa49cde8f91","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/altrust.png-1720758664875","Monthly",",INR"
ee3e6b89-8030-4edd-af08-e07b73456dd3,"Microport Infotech Pvt Ltd","MIS Executive- DDUGKY","Education","The MIS Executive will be responsible for managing information systems and data operations within the DDUGKY project. This role includes collecting, verifying, and updating beneficiary data, preparing reports, and providing analytical support to management. The MIS Executive will ensure that all data is accurate and aligned with project requirements, and will facilitate the timely sharing of information and reports.Key Responsibilities:Oversee the preparation and management of MIS reports and data for DDUGKY.Update and verify data from beneficiaries and training centers.Prepare progress reports and project dashboards using data management tools.Identify and resolve discrepancies in data to ensure consistency and accuracy.Prepare monthly, quarterly, and annual reports for management.Qualifications:Bachelor's degree in any relevant field (B.Sc, B.Com, or related discipline).Minimum of 1-year experience in MIS or data management.Proficiency in MS Excel, MS Word, and data management software.Strong analytical and data management skills.Ability to meet deadlines and manage multiple tasks simultaneously.Compensation:Competitive salary based on experience.Benefits as per organization norms.How to Apply:Interested candidates may apply by sending their resume to microportbangalore@gmail.com with the subject line ""MIS Executive – DDUGKY.""","53, HustleHub, 5th Cross Rd, near Sony World Signal, 4th Block, Koramangala, Bengaluru, 560034",16000,20000,"Basic Computer Knowledge, MS Office","Permanent Employment (Full-time)","On Site",0,"Fixed",2,"Open","Immediate","2025-02-07T06:59:47.000Z","2025-02-07T06:59:47.000Z","info@victaman.com",,"Day Shifts","English, Tamil",1,18,"Graduation (10 + 2 + 3)",5,30,"https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=/maps/dir//english%2 Bwizard/data%3D!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae15ff447f513b:0x380b124d5d2ecc8f% 3Fsa%3DX%26ved%3D1t:3061%26ictx%3D111",0,"53, HustleHub, 5th Cross Rd, near Sony World Signal, 4th Block","Koramangala","Bengaluru","560034","Here are 30 search keywords for the MIS Executive – DDUGKY position:MIS Executive, DDUGKY MIS job, Data management job, MIS reporting, Data analyst DDUGKY, DDUGKY project, Information systems executive, Data entry MIS, MIS data verification, DDUGKY Bangalore, MIS reporting executive, Skill development data management, Data analysis in rural projects, Data reporting executive, MIS job in DDUGKY, Monitoring and reporting job, Data verification job, Data coordinator DDUGKY, MIS analyst rural development, DDUGKY data entry, Information systems rural development, Data management in skill programs, DDUGKY project reports, MIS coordinator, Rural employment data management, Excel expert DDUGKY, MIS reporting for government schemes, Beneficiary data management, Project management reporting, Data consistency in DDUGKY, Data-driven decision-making in rural projects, Data handling job in DDUGKY.","11dabbef-9586-4a8c-9e43-d2690fc847c9","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/microport.png-1738910668964","Monthly",",INR"
7c69b29a-bfd0-4815-a716-bce597a9710c,"Microport Infotech Pvt Ltd","Document Collection Executive- DDUGKY","Education","The Document Collection Executive plays a vital role in the DDUGKY project by ensuring smooth and accurate documentation processes for beneficiary enrollment in skill development programs. This position is responsible for collecting, verifying, and organizing all required documents from beneficiaries to facilitate their participation in the project. The executive will maintain compliance with DDUGKY guidelines, ensuring all paperwork is accurately completed and submitted within specified timelines. The role also involves liaising with beneficiaries, training centers, and other stakeholders to resolve any discrepancies and ensure the timely flow of documentation.Key Responsibilities:Collect and verify documents needed for beneficiary registration as per DDUGKY guidelines.Ensure all documents are complete and compliant with project standards.Maintain an organized record of all collected documents and assist in data entry.Work closely with beneficiaries to resolve any document discrepancies and ensure correct submission.Provide support during audits and inspections by ensuring accurate documentation is available for review.Facilitate smooth communication between beneficiaries and training centers regarding documentation requirements.Qualifications:Bachelor's degree or equivalent.Strong attention to detail with excellent organizational skills.Good communication and interpersonal skills to interact with beneficiaries and stakeholders.Compensation:Competitive salary based on experience.Benefits as per organization norms.How to Apply:Interested candidates can apply by sending their resume to microportbangalore@gmail.com with the subject line ""Application for Document Collection Executive – DDUGKY.""","53, HustleHub, 5th Cross Rd, near Sony World Signal, 4th Block, Koramangala, Bengaluru, 560034",15000,18000,"Basic Computer Knowledge","Permanent Employment (Full-time)","On Site",0,"Fixed",5,"Open","Immediate","2025-02-07T06:55:24.000Z","2025-02-07T06:55:24.000Z","info@victaman.com",,"Day Shifts","English, Tamil",0.5,18,"Graduation (10 + 2 + 3)",3,30,"https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=/maps/dir//english%2 Bwizard/data%3D!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae15ff447f513b:0x380b124d5d2ecc8f% 3Fsa%3DX%26ved%3D1t:3061%26ictx%3D111&ved=2ahUKEwjE7Ia8-7CLAxUIXWwGHcRLO hkQ9Rd6BAg5EAQ&usg=AOvVaw0FK47A_BZdOg0XzjvX8YRr",0,"53, HustleHub, 5th Cross Rd, near Sony World Signal, 4th Block","Koramangala","Bengaluru","560034","Here are 30 search keywords for the Document Collection Executive – DDUGKY position:Document Collection Executive, DDUGKY document collection, Rural employment documentation, Beneficiary document verification, DDUGKY registration, Skill development documentation, Document management job, DDUGKY project job, Document collection coordinator, Rural development documentation, Employment program documentation, Beneficiary registration process, Document verification executive, DDUGKY beneficiary coordinator, Documentation executive job, Skill training documentation, Rural youth document collection, DDUGKY document submission, Data entry document collection, DDUGKY project coordinator, Document handling job, Compliance officer DDUGKY, Beneficiary support documentation, Employment documentation job, Rural development job, Document management in DDUGKY, Administrative assistant rural development, DDUGKY field executive, Verification officer DDUGKY, Document auditing rural programs, Rural employment schemes documentation, Record-keeping for DDUGKY.","11dabbef-9586-4a8c-9e43-d2690fc847c9","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/microport.png-1738910668964","Monthly",",INR"
96f1503b-2ca0-4c20-9766-69b475dec066,"Microport Infotech Pvt Ltd","Placement Head- DDUGKY","Education","Job Overview:The Placement Head will be responsible for overseeing and managing the placement process for DDUGKY beneficiaries. This role will ensure smooth coordination between training centers, industries, and placement partners, facilitating employment opportunities for rural youth. The Placement Head will also work to establish strong relationships with various employers and ensure placement targets are met while ensuring the sustainability of employment post-placement.Key Responsibilities:1.Placement Strategy Development:Formulate placement strategies and identify industries, companies, and sectors for potential collaborations.Establish a strong network of employers to ensure continuous job opportunities for DDUGKY candidates.Monitor and analyze market trends to identify sectors with high demand for skilled labor.2.Coordination & Networking:Build and maintain relationships with corporate partners, recruitment agencies, and industry stakeholders.Coordinate with training centers and trainers to ensure that candidates are job-ready, matching industry standards.Facilitate communication between beneficiaries, employers, and training centers.3.Placement Execution & Support:Oversee the entire placement process including interviews, job fairs, and campus placements.Provide continuous support to candidates during the placement process, including preparation for interviews, resume building, and communication skills.Ensure timely placement of all eligible candidates while meeting set targets.4.Post-Placement Monitoring & Retention:Conduct post-placement tracking and monitoring of placed candidates to ensure long-term retention in the job.Follow up with employers to assess the performance and provide necessary support to the candidates when required.Implement feedback mechanisms from both employers and candidates to improve future placements.5.Documentation & Reporting:Maintain accurate and updated records of placements and job fairs.Track placement data, report on progress against targets, and analyze outcomes.Prepare periodic reports and presentations for management and funding agencies.6.Training & Capacity Building:Provide guidance and training to Placement Coordinators and team members.Stay updated on industry standards, job market trends, and best practices to enhance placement efficiency.7.Compliance & Quality Assurance:Ensure compliance with DDUGKY guidelines, government norms, and industry standards.Monitor the quality of placement-related activities to ensure they align with the project's objectives.Qualifications:Bachelor's degree in any relevant field (Business Administration, Human Resources, etc.).0.5+ years of experience in placement services, recruitment, or HR.Experience in the social development sector or rural skill development programs preferred.Knowledge of the DDUGKY scheme, government programs, and rural employment sectors is highly desirable.Skills:Strong network within industries and organizations.Excellent communication, negotiation, and interpersonal skills.Analytical skills to assess employment data and trends.Ability to work with a diverse group of stakeholders, including government officials, employers, and beneficiaries.Proven leadership and team management skills.Ability to work under pressure and meet placement targets.Personal Attributes:Proactive and result-oriented.Passion for rural development and youth empowerment.Strong leadership and organizational skills.Empathetic and understanding of the challenges faced by rural youth.Compensation:Competitive salary based on experience.Benefits as per organization norms.How to Apply:Interested candidates may apply by sending their resume to microportbangalore@gmail.com with the subject line ""Application for Placement Head – DDUGKY."" ","53, HustleHub, 5th Cross Rd, near Sony World Signal, 4th Block, Koramangala, Bengaluru, 560034",16000,18000,"Basic Computer Knowledge, Communication","Permanent Employment (Full-time)","On Site",0,"Fixed",2,"Open","Immediate","2025-02-07T06:49:46.000Z","2025-02-07T06:49:46.000Z","info@victaman.com",,"Day Shifts","English, Tamil",0.5,18,"Graduation (10 + 2 + 3)",3,30,"https://www.google.com/url?sa=t&source=web&rct=j&opi=89978449&url=/maps/dir//english%2 Bwizard/data%3D!4m6!4m5!1m1!4e2!1m2!1m1!1s0x3bae15ff447f513b:0x380b124d5d2ecc8f% 3Fsa%3DX%26ved%3D1t:3061%26ictx%3D111&ved=2ahUKEwjE7la8-7CLAxUIXWwGHcRLO hkQ9Rd6BAg5EAQ&usg=AOvVaw0FK47A_BZdOg0XzjvX8YRr",0,"53, HustleHub, 5th Cross Rd, near Sony World Signal, 4th Block","Koramangala","Bengaluru","560034","Sure! Here's the revised list:Placement Head, DDUGKY Placement, Rural youth employment, Placement coordinator job, DDUGKY job opportunities, Rural skill development, Deen Dayal Upadhyaya Grameen Kaushalya Yojana, DDUGKY Koramangala, Skill development jobs, Placement services head, Youth empowerment placement, DDUGKY project manager, Job placement Bangalore, HR job in DDUGKY, Corporate partnership placement, Industry relations coordinator, Job fair coordination, Campus placement manager, Post-placement monitoring, Employment retention strategy, Rural development job, Placement execution job, Job placement training, Rural employment services, Recruitment coordination, Placement head job, Social development sector jobs, HR job in rural development, Employment strategy development, Rural skill training programs.","11dabbef-9586-4a8c-9e43-d2690fc847c9","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/microport.png-1738910668964","Monthly",",INR"
3d60f024-78e7-4fa2-a6a1-415757a827c7,"DBS Mintek Pvt Ltd.","Employee Relations (ER) Specialist","BPO","We are seeking an experienced and proactive Employee Relations (ER) Specialist to join our team. The ideal candidate will focus on fostering and maintaining positive relationships between employees and the organization to ensure a harmonious and productive workplace environment.Key Responsibilities:Build and maintain strong relationships with employees at all levels to promote trust and open communication.Address and resolve employee concerns or grievances in a timely and professional manner.Collaborate with HR and management teams to implement policies and practices that support a positive workplace culture.Conduct investigations into employee complaints, ensuring fairness, confidentiality, and compliance with company policies.Provide guidance and support on employee engagement, performance management, and conflict resolution.Work closely with leadership to ensure alignment of ER practices with organizational goals.Contribute to creating a safe, inclusive, and motivating environment where employees feel valued and supported .Qualifications:Proven experience in Employee Relations or HR roles.Strong interpersonal, communication, and problem-solving skills.Knowledge of labor laws and regulations.Ability to manage sensitive situations with discretion and professionalism.This role plays a vital part in creating a satisfied workforce, ultimately leading to improved business outcomes.","4floor anjani palladium baner, baner, Pune, 411045",12000,20000,"Customer Support, hiring","Permanent Employment (Full-time)","On Site",6000,"Fixed",2,"Open","Immediate","2025-01-22T12:59:11.000Z","2025-01-22T13:01:46.000Z","info@victaman.com",,"Day Shifts","English",1,18,"Graduation (10 + 2 + 3)",5,30,"https://maps.google.com/maps?q=18.564666748046875%2C73.77899169921875&z=17&hl=en",60,"4floor anjani palladium baner","baner","Pune","411045","Employee Relations Specialist Baner Pune, ER Specialist job Pune, Human Resources jobs Baner, Employee Engagement roles Pune, HR job openings Baner, Employee Relations career Pune, ER professional jobs Pune, HR Specialist Baner Pune, Employee Relations Executive Pune, HR and Employee Relations Baner, Employee Satisfaction jobs Pune, HR management roles Pune, Employee grievance handling Pune, Employee Relations job openings Pune, HR coordinator Baner Pune, Labor Relations jobs Pune, Conflict resolution HR Pune, Employee Relations positions Baner Pune, Employee Relations consultant Pune, HR policies and procedures Pune, Employee engagement Pune, Employee Relations career opportunities Pune, HR Advisor Baner Pune, HR Officer Pune, Employee welfare jobs Pune, Employee Relations consultant Baner Pune, HR jobs for experienced professionals Pune, People Operations roles Baner Pune, Employee Relations and HR job Pune, Workplace culture HR jobs Pune","2590e4c8-e551-4dda-b770-3db74bebddab","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/dbs.png-1720785522807","Monthly",",INR"
58fd8d76-8ca1-42aa-9a0e-b9f6dedc6615,"DBS Mintek Pvt Ltd.","BPO Team leader","BPO","We are seeking an experienced and dynamic BPO Team Leader to oversee a team of customer service representatives. The ideal candidate will be responsible for ensuring the efficient day-to-day operations of the team, driving performance, meeting service level agreements (SLAs), and ensuring high customer satisfaction. This role requires excellent leadership skills, problem-solving abilities, and a deep understanding of BPO operations.Key Responsibilities:Lead, manage, and motivate a team of customer service agents to achieve performance targets.Monitor and evaluate individual and team performance, providing coaching and feedback to ensure continuous improvement.Handle escalated customer queries and resolve issues efficiently.Ensure adherence to company policies, procedures, and quality standards.Maintain and report on team KPIs and provide regular performance updates to management.Facilitate training and development programs to enhance team skills and knowledge.Foster a positive and collaborative work environment.Requirements:Minimum of 3 years of experience in BPO operations, with at least 1 year in a leadership role.Strong communication and interpersonal skills.Ability to work under pressure and handle multiple priorities.Proficiency in MS Office and CRM software.Ability to motivate, mentor, and guide a team towards achieving business goals.If you're passionate about leadership and customer service, apply today to join our team in Pune!","4 floor Anjani palladium, baner, pune, 411045",17000,25000,"Customer Support","Permanent Employment (Full-time)","On Site",6000,"Fixed",2,"Open","Immediate","2025-01-21T09:30:23.000Z","2025-01-21T09:35:52.000Z","info@victaman.com",,"Day Shifts","Marathi",0.5,18,"12th",5,35,"https://maps.google.com/maps?q=18.564666748046875%2C73.77899169921875&z=17&hl=en",60,"4 floor Anjani palladium ","baner","pune","411045","BPO Team Leader jobs Baner Pune, Team Leader BPO Pune, BPO Supervisor Pune, Customer Service Team Leader Pune, BPO jobs Baner, Call Center Team Leader Pune, BPO Operations Team Leader Pune, Team Leader BPO Operations Baner, Pune BPO leadership roles, BPO management jobs Pune, Call Center Team Leader jobs Baner, BPO Team Lead Pune, BPO Team Leader vacancy Baner, BPO leadership positions Pune, Pune BPO career opportunities, Customer support team leader Pune, Team leader BPO Baner Pune, BPO operations supervisor Pune, Pune BPO job openings, Call Center Supervisor Baner, BPO leadership job Baner Pune, BPO Team Leader hiring Baner, BPO jobs with leadership role Pune, Team Leader BPO hiring Pune, Call center management jobs Baner Pune, Pune BPO team lead jobs, Customer service leadership Baner Pune, BPO manager positions Pune, Team Leader jobs in Pune BPO sector, BPO team leader career Baner Pune","2590e4c8-e551-4dda-b770-3db74bebddab","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/dbs.png-1720785522807","Monthly",",INR"
9776577b-e6a5-4748-8a81-172204b532af,"Genius Labs","Business Development Executive- WFH","Education","Work Responsibilities:Daily Call Metrics:Dial 300 leads daily.Connect with at least 150 leads.Ensure 3 hours of talk time per day.Trial Course Pitch:Pitch a 1-week trial course to leads.Convince users to book a trial demo session.Lead Orientation:Complete the orientation of interested leads.Ensure that students attend the trial session.Long-Term Course Sales:For students attending the trial class, pitch the long-term courses.Share all relevant course details.Convince them to enrol in long-term courses and close the sale.Lead Management:If a student is not interested in joining courses, remove the demo from the list.Focus on identifying new interested leads.Sales Targets:Close at least 1 sale per week.Meet the monthly revenue target of 5 times the salary.Incentives:Eligible for 10% incentive on the total revenue generated above your monthly salary. Please Note that all Incentives will stand cancelled on Leaving the Company without Serving Notice Period.","53 Hustle Hub, Koramangala Block 4, Bengaluru, 560034",8000,8000,"MS Office, Customer Support, Sales","Fixed-term Employment","Remote",1500,"Fixed",100,"Open","Immediate","2025-01-10T09:04:23.000Z","2025-01-21T07:41:37.000Z","info@victaman.com",,"Day Shifts","Hindi, English",0,18,"12th",7,30,,,30,"53 Hustle Hub","Koramangala Block 4","Bengaluru","560034","","4d9f1633-246a-4fc8-9cd5-eedad040f792","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/genius.png-1720769558193","Monthly",",INR"
4549a3ad-83e4-4257-9b4f-1160d787b024,"Earlyjobs","Freelance HR Recruiter","Information Technology","EarlyJobs is a platform initiated by Victaman Services Pvt. Ltd., designed to facilitate freelance recruiters to work remotely. Additionally, it serves as a resource for students pursuing a degree or MBA to get training and internship.Job Description: We are looking for an experienced Freelance HR Recruiter to support our hiring efforts on a per joining basis. The ideal candidate will have a proven track record in talent acquisition, with the ability to source and attract high-quality candidates for various roles within our organization.Responsibilities:• Partner with hiring managers to understand staffing needs and develop recruitment strategies.• Source candidates through online channels, social media, networking, and other creative methods.• Review resumes and applications to identify qualified candidates.• Conduct phone screens and initial interviews to assess candidates' skills, experience, and cultural fit.• Coordinate interviews between candidates and hiring managers.• Provide feedback and recommendations to hiring managers throughout the recruitment process.• Manage candidate communication and ensure a positive candidate experience.• Track and report on recruitment metrics and outcomes.Requirements:• Proven experience as a Recruiter or similar role, preferably in a freelance capacity.• Solid understanding of full-cycle recruiting processes and best practices.• Excellent communication and interpersonal skills.• Strong sourcing and networking abilities.• Ability to work independently and manage multiple projects simultaneously.• Proficiency in using applicant tracking systems and other recruitment tools.• Bachelor's degree in Human Resources, Business Administration, or related field (preferred).• HR certification (e.g., PHR, SHRM-CP) is a plus.Benefits:• Flexible schedule and remote work opportunity.3• 3% of the annual CTC per candidate once they complete 90 days of tenure at the company.• Opportunity to work with a dynamic team and contribute to our growth and success.Join our team as a Freelance HR Recruiter and help us build a talented workforce to drive our organization forward. Apply today by submitting your resume and a brief cover letter outlining your relevant experience and availability.","HustleHub, 53, 5th Cross Rd, near Sony World Signal, 4th Block, Koramangala, 560034",10000,50000,"Basic Computer Knowledge","Freelance","Remote",0,"Percentage",100,"Open","Immediate","2024-12-30T14:16:58.000Z","2025-04-12T06:56:57.000Z","info@victaman.com",,"Day Shifts","English",0,18,"12th",10,35,,,0,"HustleHub, 53, 5th Cross Rd"," near Sony World Signal, 4th Block","Koramangala","560034","HR recruiter internship opportunities, Human resources internship with stipend, HR recruitment training programs, Talent acquisition internship roles, Entry-level HR recruiter positions, Remote HR recruiter internship, Part-time HR recruiter internship, HR recruiter skills development, Graduate internship in HR, HR internship with hands-on experience, Stipend-based HR internships 2024, HR recruiting job roles for freshers, How to become an HR recruiter intern, HR internship benefits and growth, Internship for HR graduates, Candidate sourcing techniques internship, HR recruiter resume enhancement, Professional networking HR internships, Best HR recruiter internship programs, Career path for HR recruiter interns","5a0c682d-0fa5-4ec6-8305-53ac167c1bf6","https://earlyjobs-company-logo.s3.ap-south-1.amazonaws.com/earlyjobs.png-1726641389273","Monthly",",INR"
